View,Version,BU,Customer,Product,Year,Time,Account,Value
Actual,Final,10031,COMML,HYDRONICS,FY26,Jun,600030.000,681916.56
Actual,Final,10031,COMML,HYDRONICS,FY26,Mar,600040.000,83300.64
Actual,Final,10031,COMML,HYDRONICS,FY26,May,600050.000,587584.8
Actual,Final,10031,COMML,HYDRONICS,FY25,Aug,600100.000,244426.32
Actual,Final,10031,COMML,HYDRONICS,FY25,Dec,600110.000,64628.16
Actual,Final,10031,COMML,HYDRONICS,FY25,Feb,600120.000,-1152
Actual,Final,10031,COMML,HYDRONICS,FY25,Jan,600130.000,5712
Actual,Final,10031,COMML,HYDRONICS,FY25,Mar,600200.000,3076.8
Actual,Final,10031,COMML,HYDRONICS,FY25,Nov,600210.000,68074.32
Actual,Final,10031,COMML,HYDRONICS,FY25,Oct,600220.000,657185.76
Actual,Final,10031,COMML,HYDRONICS,FY25,Sep,600230.000,116827.44
Actual,Final,10031,COMML,MISC_PROD,FY26,Apr,600300.000,4142.64
Actual,Final,10031,COMML,MISC_PROD,FY26,Feb,601000.000,8161.92
Actual,Final,10031,COMML,MISC_PROD,FY26,Jan,601010.000,460.32
Actual,Final,10031,COMML,MISC_PROD,FY26,Jul,602000.000,182505.6
Actual,Final,10031,COMML,MISC_PROD,FY26,Jun,603000.000,8766.72
Actual,Final,10031,COMML,MISC_PROD,FY26,Mar,603100.000,10823.76
Actual,Final,10031,COMML,MISC_PROD,FY26,May,603110.000,-13182
Actual,Final,10031,COMML,MISC_PROD,FY25,Apr,604000.000,42088.08
Actual,Final,10031,COMML,MISC_PROD,FY25,Aug,604100.000,283770.72
Actual,Final,10031,COMML,MISC_PROD,FY25,Dec,604200.000,8184.48
Actual,Final,10031,COMML,MISC_PROD,FY25,Feb,604210.000,27492.72
Actual,Final,10031,COMML,MISC_PROD,FY25,Jan,604220.000,38991.6
Actual,Final,10031,COMML,MISC_PROD,FY25,Mar,600000.000,2762.64
Actual,Final,10031,COMML,MISC_PROD,FY25,Nov,600010.000,48029.52
Actual,Final,10031,COMML,MISC_PROD,FY25,Oct,600020.000,82956
Actual,Final,10031,COMML,MISC_PROD,FY25,Sep,600030.000,650.88
Actual,Final,10031,COMML,PLUMBING,FY26,Apr,600040.000,252172.8
Actual,Final,10031,COMML,PLUMBING,FY26,Feb,600050.000,60641.04
Actual,Final,10031,COMML,PLUMBING,FY26,Jan,600100.000,299690.4
Actual,Final,10031,COMML,PLUMBING,FY26,Jul,600110.000,1023923.76
Actual,Final,10031,COMML,PLUMBING,FY26,Jun,600120.000,251536.56
Actual,Final,10031,COMML,PLUMBING,FY26,Mar,600130.000,524794.8
Actual,Final,10031,COMML,PLUMBING,FY26,May,600200.000,236337.6
Actual,Final,10031,COMML,PLUMBING,FY25,Apr,600210.000,125388.24
Actual,Final,10031,COMML,PLUMBING,FY25,Aug,600220.000,307002.96
Actual,Final,10031,COMML,PLUMBING,FY25,Dec,600230.000,96438.96
Actual,Final,10031,COMML,PLUMBING,FY25,Feb,600300.000,96001.2
Actual,Final,10031,COMML,PLUMBING,FY25,Jan,601000.000,297499.2
Actual,Final,10031,COMML,PLUMBING,FY25,Mar,601010.000,71613.36
Actual,Final,10031,COMML,PLUMBING,FY25,Nov,602000.000,146882.88
Actual,Final,10031,COMML,PLUMBING,FY25,Oct,603000.000,140840.4
Actual,Final,10031,COMML,PLUMBING,FY25,Sep,603100.000,130562.64
Actual,Final,10031,COMML,PVF,FY26,Apr,603110.000,41995.68
Actual,Final,10031,COMML,PVF,FY26,Feb,604000.000,2149.2
Actual,Final,10031,COMML,PVF,FY26,Jan,604100.000,15633.6
Actual,Final,10031,COMML,PVF,FY26,Jul,604200.000,60450
Actual,Final,10031,COMML,PVF,FY26,Jun,604210.000,6930.24
Actual,Final,10031,COMML,PVF,FY26,Mar,604220.000,409067.28
Actual,Final,10031,COMML,PVF,FY26,May,600000.000,64455.12
Actual,Final,10031,COMML,PVF,FY25,Apr,600010.000,249534.48
Actual,Final,10031,COMML,PVF,FY25,Aug,600020.000,7346.16
Actual,Final,10031,COMML,PVF,FY25,Dec,600030.000,435418.8
Actual,Final,10031,COMML,PVF,FY25,Feb,600040.000,4011.36
Actual,Final,10031,COMML,PVF,FY25,Jan,600050.000,2127.36
Actual,Final,10031,COMML,PVF,FY25,Mar,600100.000,81121.68
Actual,Final,10031,COMML,PVF,FY25,Nov,600110.000,3292.8
Actual,Final,10031,COMML,PVF,FY25,Oct,600120.000,813.36
Actual,Final,10031,COMML,PVF,FY25,Sep,600130.000,6105.84
Actual,Final,10031,COMML,WATERWORKS,FY26,Apr,600200.000,2380099.68
Actual,Final,10031,COMML,WATERWORKS,FY26,Feb,600210.000,-67623.84
Actual,Final,10031,COMML,WATERWORKS,FY26,Jan,600220.000,1597812
Actual,Final,10031,COMML,WATERWORKS,FY26,Jul,600230.000,1375128
Actual,Final,10031,COMML,WATERWORKS,FY26,Jun,600300.000,861772.08
Actual,Final,10031,COMML,WATERWORKS,FY26,Mar,601000.000,39600.48
Actual,Final,10031,COMML,WATERWORKS,FY26,May,601010.000,941943.84
Actual,Final,10031,COMML,WATERWORKS,FY25,Apr,602000.000,90756.96
Actual,Final,10031,COMML,WATERWORKS,FY25,Aug,603000.000,1679539.2
Actual,Final,10031,COMML,WATERWORKS,FY25,Dec,700200.000,8677.92
Actual,Final,10031,COMML,WATERWORKS,FY25,Feb,603110.000,7231.6
Actual,Final,10031,RETAIL,PVF,FY26,Apr,700220.000,1797.08
Actual,Final,10031,RETAIL,PVF,FY26,Feb,700230.000,611.6
Actual,Final,10031,RETAIL,PVF,FY26,Jan,700240.000,497.8
Actual,Final,10031,RETAIL,PVF,FY26,Jul,700250.000,1407.3
Actual,Final,10031,RETAIL,PVF,FY26,Jun,700300.126,2972.64
Actual,Final,10031,RETAIL,PVF,FY26,Mar,700310.000,917.04
Actual,Final,10031,RETAIL,PVF,FY26,May,700320.000,2009.07
Actual,Final,10031,RETAIL,WATERWORKS,FY26,Apr,702130.000,10119.23
Actual,Final,10031,RETAIL,WATERWORKS,FY26,Feb,702140.000,654
Actual,Final,10031,RETAIL,WATERWORKS,FY26,Jan,702150.000,3957.2
Actual,Final,10031,RETAIL,WATERWORKS,FY26,Jun,702160.000,7013.79
Actual,Final,10031,RETAIL,WATERWORKS,FY26,Mar,702170.000,10433.46
Actual,Final,10031,RETAIL,WATERWORKS,FY26,May,702170.196,6452.83
Actual,Final,10201,COMML,FPROT,FY26,Apr,710020.000,35.58
Actual,Final,10201,COMML,FPROT,FY26,Feb,710030.000,3504.25
Actual,Final,10201,COMML,FPROT,FY26,Jan,710040.000,377.55
Actual,Final,10201,COMML,HYDRONICS,FY26,Jun,700000.000,5546.11
Actual,Final,10201,COMML,HYDRONICS,FY26,Mar,700010.000,27955.73
Actual,Final,10201,COMML,HYDRONICS,FY26,May,700020.000,44381.63
Actual,Final,10201,COMML,MISC_PROD,FY26,Jun,700310.000,5195
Actual,Final,10201,COMML,PLUMBING,FY26,Apr,702100.000,6713.61
Actual,Final,10201,COMML,PLUMBING,FY26,Feb,702110.000,13415.27
Actual,Final,10201,COMML,PLUMBING,FY26,Jan,702120.000,8829.25
Actual,Final,10201,COMML,PLUMBING,FY26,Jul,702130.000,35166.61
Actual,Final,10201,COMML,PLUMBING,FY26,Jun,702140.000,33374.03
Actual,Final,10201,COMML,PLUMBING,FY26,Mar,702150.000,11602.97
Actual,Final,10201,COMML,PVF,FY26,Apr,704000.000,12533.78
Actual,Final,10201,COMML,PVF,FY26,Feb,704010.000,56946.26
Actual,Final,10201,COMML,PVF,FY26,Jan,710000.000,26434.91
Actual,Final,10201,COMML,PVF,FY26,Jul,710010.000,29820.97
Actual,Final,10201,COMML,PVF,FY26,Jun,710020.000,7996.8
Actual,Final,10201,COMML,PVF,FY26,Mar,710030.000,20566.66
Actual,Final,10201,COMML,PVF,FY26,May,710040.000,17334.62
Actual,Final,10201,INDL,HYDRONICS,FY26,Apr,700240.000,18545.38
Actual,Final,10201,INDL,HYDRONICS,FY26,Feb,700250.000,372.4
Actual,Final,10201,INDL,HYDRONICS,FY26,Jan,700300.126,553.42
Actual,Final,10201,INDL,HYDRONICS,FY26,Jul,700310.000,412.12
Actual,Final,10201,INDL,HYDRONICS,FY26,Jun,700320.000,508.45
Actual,Final,10201,INDL,HYDRONICS,FY26,Mar,701000.000,1404.93
Actual,Final,10201,INDL,HYDRONICS,FY26,May,702000.000,186.7
Actual,Final,10201,INDL,MISC_PROD,FY26,May,702150.000,715.61
Actual,Final,10201,INDL,PLUMBING,FY26,Apr,703100.000,689.52
Actual,Final,10201,INDL,PLUMBING,FY26,Feb,703110.000,3508.49
Actual,Final,10201,INDL,PLUMBING,FY26,Jan,704000.000,1289.34
Actual,Final,10201,INDL,PLUMBING,FY26,Jul,704010.000,32018.66
Actual,Final,10201,INDL,PLUMBING,FY26,Jun,710000.000,5704.62
Actual,Final,10201,INDL,PLUMBING,FY26,Mar,710010.000,1884.77
Actual,Final,10201,INDL,PLUMBING,FY26,May,710020.000,3621.96
Actual,Final,10201,INST,HYDRONICS,FY26,Jan,700000.000,53.11
Actual,Final,10201,INST,HYDRONICS,FY26,Jul,700010.000,88.65
Actual,Final,10201,INST,HYDRONICS,FY26,Jun,700020.000,352.06
Actual,Final,10201,INST,HYDRONICS,FY26,Mar,700100.000,249.57
Actual,Final,10201,INST,PLUMBING,FY26,Apr,700310.000,336.11
Actual,Final,10201,INST,PLUMBING,FY26,Feb,700320.000,257.97
Actual,Final,10201,INST,PLUMBING,FY26,Jan,701000.000,922.19
Actual,Final,10201,INST,PLUMBING,FY26,Jul,702000.000,849.56
Actual,Final,10201,INST,PLUMBING,FY26,Jun,702010.000,8243.7
Actual,Final,10201,INST,PLUMBING,FY26,Mar,702020.000,1215.31
Actual,Final,10201,INST,PLUMBING,FY26,May,702030.000,563.1
Actual,Final,10201,INST,PVF,FY26,Feb,702160.000,749.65
Actual,Final,10201,INST,PVF,FY26,Jul,702170.000,61.75
Actual,Final,10201,INST,PVF,FY26,Jun,702170.196,131.55
Actual,Final,10201,INST,PVF,FY26,Mar,703000.000,2875.08
Actual,Final,10201,INST,WATERWORKS,FY26,Mar,710000.000,21.52
Actual,Final,10201,MISC_CUST,HVACR,FY26,Apr,710010.000,16.56
Actual,Final,10201,MISC_CUST,HVACR,FY26,Feb,710020.000,12.24
Actual,Final,10201,MISC_CUST,HVACR,FY26,Jul,710030.000,69.34
Actual,Final,10201,MISC_CUST,HVACR,FY26,Jun,710040.000,21.87
Actual,Final,10201,MISC_CUST,PVF,FY26,Apr,700000.000,300.51
Actual,Final,10201,MISC_CUST,PVF,FY26,Feb,700010.000,165.93
Actual,Final,10201,MISC_CUST,PVF,FY26,Jan,700020.000,218.61
Actual,Final,10201,MISC_CUST,PVF,FY26,Jul,700100.000,119.78
Actual,Final,10201,MISC_CUST,PVF,FY26,Jun,700110.000,743.94
Actual,Final,10201,MISC_CUST,PVF,FY26,Mar,700200.000,495.16
Actual,Final,10201,MISC_CUST,PVF,FY26,May,700210.000,473.9
Actual,Final,10201,RESELLER,HVACR,FY26,Apr,702030.000,456.01
Actual,Final,10201,RESELLER,HVACR,FY26,Feb,702040.000,506.75
Actual,Final,10201,RESELLER,HVACR,FY26,Jan,702100.000,1300.8
Actual,Final,10201,RESELLER,HVACR,FY26,Jul,702110.000,1776.52
Actual,Final,10201,RESELLER,HVACR,FY26,Jun,702120.000,956.33
Actual,Final,10201,RESELLER,HVACR,FY26,Mar,702130.000,3567.74
Actual,Final,10201,RESELLER,HVACR,FY26,May,702140.000,3390.63
Actual,Final,10201,RESELLER,HYDRONICS,FY26,Apr,703100.000,1295.79
Actual,Final,10201,RESELLER,HYDRONICS,FY26,Feb,703110.000,1090.72
Actual,Final,10201,RESELLER,HYDRONICS,FY26,Jan,704000.000,8296.44
Actual,Final,10201,RESELLER,HYDRONICS,FY26,Jul,704010.000,1928.57
Actual,Final,10201,RESELLER,HYDRONICS,FY26,Jun,710000.000,3019.93
Actual,Final,10201,RESELLER,HYDRONICS,FY26,Mar,710010.000,932.33
Actual,Final,10201,RESELLER,HYDRONICS,FY26,May,710020.000,1914
Actual,Final,10201,RESELLER,PVF,FY26,Apr,700110.000,2079.56
Actual,Final,10201,RESELLER,PVF,FY26,Feb,700200.000,1451.23
Actual,Final,10201,RESELLER,PVF,FY26,Jan,700210.000,1923.86
Actual,Final,10201,RESELLER,PVF,FY26,Jul,700220.000,1298.48
Actual,Final,10201,RESELLER,PVF,FY26,Jun,700230.000,1805.29
Actual,Final,10201,RESELLER,PVF,FY26,Mar,700240.000,2800.12
Actual,Final,10201,RESELLER,PVF,FY26,May,700250.000,2057.14
Actual,Final,10201,RESELLER,WATERWORKS,FY26,Jul,702100.000,0
Actual,Final,10201,RESELLER,WATERWORKS,FY26,Jun,702110.000,110
Actual,Final,10201,RESELLER,WATERWORKS,FY26,Mar,702120.000,0
Actual,Final,10201,RESID,FPROT,FY26,Jul,702140.000,494.5
Actual,Final,10201,RESID,FPROT,FY26,Jun,702150.000,124.78
Actual,Final,10201,RESID,HVACR,FY26,Apr,703010.000,2225.72
Actual,Final,10201,RESID,HVACR,FY26,Feb,703020.000,4824.16
Actual,Final,10201,RESID,HVACR,FY26,Jan,703030.000,13786.78
Actual,Final,10201,RESID,HVACR,FY26,Jul,703100.000,3157.09
Actual,Final,10201,RESID,HVACR,FY26,Jun,703110.000,8227.85
Actual,Final,10201,RESID,HVACR,FY26,Mar,704000.000,12485.01
Actual,Final,10201,RESID,HVACR,FY26,May,704010.000,3199.62
Actual,Final,10201,RESID,PLUMBING,FY26,Apr,700200.000,18576.23
Actual,Final,10201,RESID,PLUMBING,FY26,Feb,700210.000,18499.47
Actual,Final,10201,RESID,PLUMBING,FY26,Jan,700220.000,14315.19
Actual,Final,10201,RESID,PLUMBING,FY26,Jul,700230.000,22254.61
Actual,Final,10201,RESID,PLUMBING,FY26,Jun,700240.000,32764.84
Actual,Final,10201,RESID,PLUMBING,FY26,Mar,700250.000,39497.66
Actual,Final,10201,RESID,PLUMBING,FY26,May,700300.126,24849
Actual,Final,10201,RESID,PVF,FY26,Apr,702110.000,752.56
Actual,Final,10201,RESID,PVF,FY26,Feb,702120.000,1992.36
Actual,Final,10201,RESID,PVF,FY26,Jan,702130.000,6642.61
Actual,Final,10201,RESID,PVF,FY26,Jul,702140.000,2008.81
Actual,Final,10201,RESID,PVF,FY26,Jun,702150.000,4671.85
Actual,Final,10201,RESID,PVF,FY26,May,702160.000,4978.85
Actual,Final,10201,RESID,WATERWORKS,FY26,Jan,704010.000,-215.7
Actual,Final,10201,RESID,WATERWORKS,FY26,Jul,710000.000,100.01
Actual,Final,10201,RESID,WATERWORKS,FY26,Jun,710010.000,160
Actual,Final,10201,RESID,WATERWORKS,FY26,Mar,710020.000,375.3
Actual,Final,10201,RESID,WATERWORKS,FY26,May,710030.000,174.5
Actual,Final,10201,RETAIL,HYDRONICS,FY26,Jun,700000.000,2537.91
Actual,Final,10201,RETAIL,HYDRONICS,FY26,Mar,700010.000,3716.11
Actual,Final,10201,RETAIL,HYDRONICS,FY26,May,700020.000,2446.75
Actual,Final,10201,RETAIL,MISC_PROD,FY26,Jan,700310.000,49
Actual,Final,10201,RETAIL,MISC_PROD,FY26,Jul,700320.000,172.7
Actual,Final,10201,RETAIL,MISC_PROD,FY26,Jun,701000.000,25.9
Actual,Final,10201,RETAIL,MISC_PROD,FY26,May,702000.000,491.8
Actual,Final,10201,RETAIL,PLUMBING,FY26,Apr,702140.000,5092.55
Actual,Final,10201,RETAIL,PLUMBING,FY26,Feb,702150.000,7163.68
Actual,Final,10201,RETAIL,PLUMBING,FY26,Jul,702160.000,15019
Actual,Final,10201,RETAIL,PLUMBING,FY26,Jun,702170.000,11206.93
Actual,Final,10201,RETAIL,PLUMBING,FY26,Mar,702170.196,4693.94
Actual,Final,10201,RETAIL,PLUMBING,FY26,May,703000.000,8200.84
Actual,Final,10201,RETAIL,PVF,FY26,Apr,710020.000,795.98
Actual,Final,10201,RETAIL,PVF,FY26,Feb,710030.000,2032.14
Actual,Final,10201,RETAIL,PVF,FY26,Jan,710040.000,2506.65
Actual,Final,10202,COMML,HVACR,FY26,Apr,700220.000,486
Actual,Final,10202,COMML,HVACR,FY26,Feb,700230.000,784.8
Actual,Final,10202,COMML,HVACR,FY26,Jan,700240.000,700
Actual,Final,10202,COMML,HVACR,FY26,Jul,700250.000,783.56
Actual,Final,10202,COMML,HVACR,FY26,Mar,700300.126,385
Actual,Final,10202,COMML,HYDRONICS,FY26,Apr,702110.000,6374.15
Actual,Final,10202,COMML,HYDRONICS,FY26,Feb,702120.000,58184.42
Actual,Final,10202,COMML,HYDRONICS,FY26,Jan,702130.000,12576.06
Actual,Final,10202,COMML,HYDRONICS,FY26,Jul,702140.000,87782.92
Actual,Final,10202,COMML,HYDRONICS,FY26,Jun,702150.000,126180.62
Actual,Final,10202,COMML,HYDRONICS,FY26,May,702160.000,15304.94
Actual,Final,10202,COMML,MISC_PROD,FY26,Apr,704010.000,-40.1
Actual,Final,10202,COMML,MISC_PROD,FY26,Feb,710000.000,89.55
Actual,Final,10202,COMML,MISC_PROD,FY26,Jan,710010.000,191.69
Actual,Final,10202,COMML,MISC_PROD,FY26,Jul,710020.000,0
Actual,Final,10202,COMML,MISC_PROD,FY26,Jun,710030.000,1780.32
Actual,Final,10202,COMML,MISC_PROD,FY26,Mar,710040.000,21256.41
Actual,Final,10202,COMML,PVF,FY26,Jul,700000.000,123002.4
Actual,Final,10202,COMML,PVF,FY26,Jun,700010.000,158147.65
Actual,Final,10202,COMML,PVF,FY26,Mar,700020.000,95531.11
Actual,Final,10202,COMML,PVF,FY26,May,700100.000,121253.71
Actual,Final,10202,COMML,WATERWORKS,FY26,Feb,700320.000,340.14
Actual,Final,10202,COMML,WATERWORKS,FY26,Jan,701000.000,458
Actual,Final,10202,COMML,WATERWORKS,FY26,Jul,702000.000,545
Actual,Final,10202,COMML,WATERWORKS,FY26,Jun,702010.000,427
Actual,Final,10202,COMML,WATERWORKS,FY26,Mar,702020.000,837.26
Actual,Final,10202,COMML,WATERWORKS,FY26,May,702030.000,836.9
Actual,Final,10202,INDL,FPROT,FY26,Apr,702170.000,3792
Actual,Final,10202,INDL,FPROT,FY26,Jan,702170.196,4788
Actual,Final,10202,INDL,FPROT,FY26,Jul,703000.000,5762.7
Actual,Final,10202,INDL,FPROT,FY26,Jun,703010.000,23246.1
Actual,Final,10202,INDL,FPROT,FY26,May,703020.000,2403.9
Actual,Final,10202,INDL,HVACR,FY26,Jan,710010.000,364
Actual,Final,10202,INDL,HVACR,FY26,Jul,710020.000,176
Actual,Final,10202,INDL,HVACR,FY26,Jun,710030.000,430
Actual,Final,10202,INDL,MISC_PROD,FY26,Mar,700000.000,20307.15
Actual,Final,10202,INDL,MISC_PROD,FY26,May,700010.000,30879.33
Actual,Final,10202,INDL,PLUMBING,FY26,Apr,700300.126,11382.97
Actual,Final,10202,INDL,PLUMBING,FY26,Feb,700310.000,7865.95
Actual,Final,10202,INDL,PLUMBING,FY26,Jan,700320.000,8402.34
Actual,Final,10202,INDL,PLUMBING,FY26,Jul,701000.000,6772.95
Actual,Final,10202,INDL,PLUMBING,FY26,Jun,702000.000,8827.89
Actual,Final,10202,INDL,PLUMBING,FY26,Mar,702010.000,4620.78
Actual,Final,10202,INDL,PLUMBING,FY26,May,702020.000,13625.77
Actual,Final,10202,INDL,PVF,FY26,Apr,702160.000,47109.09
Actual,Final,10202,INDL,PVF,FY26,Feb,702170.000,53345.46
Actual,Final,10202,INDL,PVF,FY26,Jan,702170.196,72630.12
Actual,Final,10202,INDL,PVF,FY26,Jul,703000.000,109577.84
Actual,Final,10202,INDL,PVF,FY26,Jun,703010.000,151187.9
Actual,Final,10202,INDL,PVF,FY26,Mar,703020.000,80412.53
Actual,Final,10202,INDL,PVF,FY26,May,703030.000,63535.53
Actual,Final,10202,INST,HYDRONICS,FY26,Feb,700000.000,2113
Actual,Final,10202,INST,HYDRONICS,FY26,Jan,700010.000,376.24
Actual,Final,10202,INST,HYDRONICS,FY26,Jul,700020.000,145
Actual,Final,10202,INST,HYDRONICS,FY26,Jun,700100.000,581.28
Actual,Final,10202,INST,HYDRONICS,FY26,Mar,700110.000,26627
Actual,Final,10202,INST,HYDRONICS,FY26,May,700200.000,176.87
Actual,Final,10202,INST,MISC_PROD,FY26,Feb,702000.000,425
Actual,Final,10202,INST,MISC_PROD,FY26,Jan,702010.000,7
Actual,Final,10202,INST,MISC_PROD,FY26,Jul,702020.000,10177
Actual,Final,10202,INST,MISC_PROD,FY26,Jun,702030.000,10583.3
Actual,Final,10202,INST,MISC_PROD,FY26,May,702040.000,522.5
Actual,Final,10202,INST,PLUMBING,FY26,Apr,702140.000,839.53
Actual,Final,10202,INST,PLUMBING,FY26,Feb,702150.000,5778.22
Actual,Final,10202,INST,PLUMBING,FY26,Jul,702160.000,14648.89
Actual,Final,10202,INST,PLUMBING,FY26,Jun,702170.000,4476.24
Actual,Final,10202,INST,PLUMBING,FY26,Mar,702170.196,10842.81
Actual,Final,10202,INST,PLUMBING,FY26,May,703000.000,3592.94
Actual,Final,10202,INST,PVF,FY26,Apr,710020.000,691.62
Actual,Final,10202,INST,PVF,FY26,Feb,710030.000,575.55
Actual,Final,10202,INST,PVF,FY26,Jan,710040.000,434.13
Actual,Final,10202,MISC_CUST,PVF,FY26,Apr,700210.000,1267.32
Actual,Final,10202,MISC_CUST,PVF,FY26,Feb,700220.000,1469.7
Actual,Final,10202,MISC_CUST,PVF,FY26,Jan,700230.000,245.71
Actual,Final,10202,MISC_CUST,PVF,FY26,Jul,700240.000,12228.78
Actual,Final,10202,MISC_CUST,PVF,FY26,Jun,700250.000,188.95
Actual,Final,10202,MISC_CUST,PVF,FY26,Mar,700300.126,50.3
Actual,Final,10202,MISC_CUST,PVF,FY26,May,700310.000,45313.52
Actual,Final,10202,RESELLER,HVACR,FY26,Jan,702040.000,0
Actual,Final,10202,RESELLER,HVACR,FY26,Mar,702100.000,0
Actual,Final,10202,RESELLER,HYDRONICS,FY26,Apr,702130.000,0
Actual,Final,10202,RESELLER,HYDRONICS,FY26,Feb,702140.000,0
Actual,Final,10202,RESELLER,HYDRONICS,FY26,Jan,702150.000,0
Actual,Final,10202,RESELLER,HYDRONICS,FY26,Mar,702160.000,166.05
Actual,Final,10202,RESELLER,HYDRONICS,FY26,May,702170.000,564.69
Actual,Final,10202,RESELLER,MISC_PROD,FY26,Apr,704000.000,0
Actual,Final,10202,RESELLER,MISC_PROD,FY26,Jan,704010.000,-99.8
Actual,Final,10202,RESELLER,MISC_PROD,FY26,Mar,710000.000,-176.51
Actual,Final,10202,RESELLER,PLUMBING,FY26,Apr,710030.000,6599.96
Actual,Final,10202,RESELLER,WATERWORKS,FY26,Mar,700020.000,2117
Actual,Final,10202,RESID,FPROT,FY26,Apr,700110.000,59.54
Actual,Final,10202,RESID,FPROT,FY26,Jun,700200.000,-111.92
Actual,Final,10202,RESID,FPROT,FY26,Mar,700210.000,2470.18
Actual,Final,10202,RESID,FPROT,FY26,May,700220.000,163.36
Actual,Final,10202,RESID,HVACR,FY26,Apr,702010.000,2117.14
Actual,Final,10202,RESID,HVACR,FY26,Feb,702020.000,-135
Actual,Final,10202,RESID,HVACR,FY26,Jan,702030.000,1276.25
Actual,Final,10202,RESID,HVACR,FY26,Jul,702040.000,2025.06
Actual,Final,10202,RESID,HVACR,FY26,Jun,702100.000,91.86
Actual,Final,10202,RESID,HVACR,FY26,Mar,702110.000,5337.27
Actual,Final,10202,RESID,HVACR,FY26,May,702120.000,1521.44
Actual,Final,10202,RESID,HYDRONICS,FY26,Apr,703020.000,2721.41
Actual,Final,10202,RESID,HYDRONICS,FY26,Feb,703030.000,6575.33
Actual,Final,10202,RESID,HYDRONICS,FY26,Jan,703100.000,11247.63
Actual,Final,10202,RESID,HYDRONICS,FY26,Jul,703110.000,13240.13
Actual,Final,10202,RESID,HYDRONICS,FY26,Jun,704000.000,7592.48
Actual,Final,10202,RESID,HYDRONICS,FY26,Mar,704010.000,9969.87
Actual,Final,10202,RESID,HYDRONICS,FY26,May,710000.000,20408.09
Actual,Final,10202,RESID,PVF,FY26,Apr,700110.000,6474.63
Actual,Final,10202,RESID,PVF,FY26,Feb,700200.000,3444.74
Actual,Final,10202,RESID,PVF,FY26,Jan,700210.000,7580.47
Actual,Final,10202,RESID,PVF,FY26,Jul,700220.000,2459.34
Actual,Final,10202,RESID,PVF,FY26,Jun,700230.000,7440.34
Actual,Final,10202,RESID,PVF,FY26,Mar,700240.000,10403.24
Actual,Final,10202,RESID,PVF,FY26,May,700250.000,3017.67
Actual,Final,10202,RESID,WATERWORKS,FY26,Apr,702100.000,1020
Actual,Final,10202,RESID,WATERWORKS,FY26,Jan,702110.000,429.5
Actual,Final,10202,RESID,WATERWORKS,FY26,Jul,702120.000,581.6
Actual,Final,10202,RESID,WATERWORKS,FY26,Mar,702130.000,1360
Actual,Final,10202,RETAIL,FPROT,FY26,Feb,702160.000,1458.58
Actual,Final,10202,RETAIL,FPROT,FY26,Jan,702170.000,4425.49
Actual,Final,10202,RETAIL,FPROT,FY26,Jul,702170.196,1531.37
Actual,Final,10202,RETAIL,FPROT,FY26,Jun,703000.000,2421.25
Actual,Final,10202,RETAIL,FPROT,FY26,Mar,703010.000,1110.26
Actual,Final,10202,RETAIL,FPROT,FY26,May,703020.000,5064.51
Actual,Final,10202,RETAIL,MISC_PROD,FY26,Apr,700100.000,473.75
